time_s,V_sim,T_seven_C,T_MEA_C,ice_volume_max,ice_saturation_max,liquid_saturation_max,lambda_aCL,lambda_PEM,lambda_cCL,lambda_oversat_CL,CL_frozen_ion_water,gas_porosity_min,V_Erev,V_act,V_ohm,V_con,R_aCL,R_PEM,R_cCL,jlim_H,jlim_O,reaction_weight_max,nucleation_progress,V_exp,T_exp_C,water_residual,energy_residual
11.8,0.411252138312714,-24.1993727348564,-24.0521417508344,0.0105889017865611,0.0251697213847423,0,2.25509599237849,3.05573264280398,6.13490020044723,0.629299456222456,2.34764372191008e-05,0.3916,1.26225340834814,0.742545645072451,0.108432860559418,2.27644035579085e-05,1.90041994843292e-05,2.41286008766363e-05,2.56233710817177e-05,3392608.93975627,367332.704520207,1.02487268535313,1,0.496,-24.2867261926526,-7.6156012309629e-16,-3.37119221427429e-09
12,0.407751757115393,-24.1451238000828,-23.993164721615,0.0135635144988261,0.0322403482263515,0,2.23466160109853,3.05824276251525,6.20162591222055,0.668534097225071,3.24345396244256e-05,0.3916,1.26219892204477,0.743841298189609,0.110582502078309,2.33646614630756e-05,1.91784049435983e-05,2.40926452112149e-05,2.51005815837533e-05,3393230.50742487,367125.114358166,1.03385622368044,1,0.493,-24.2387931247637,-4.5781326117795e-16,-3.63805252590055e-09
12.2,0.399834434226514,-24.0880927204418,-23.9268357862338,0.0166454442355846,0.0395660666403246,0,2.21227540184933,3.06032145035277,6.26314970660665,0.703391585870533,4.25019397820989e-05,0.3916,1.2621359852552,0.74631707952048,0.115959821739263,2.46497689453333e-05,1.93739493939738e-05,2.40563605149359e-05,2.45988177669188e-05,3393938.85316919,366865.717185737,1.04370226943136,1,0.491,-24.1888437255502,-4.44434375776069e-16,-4.57744153692374e-09
12.4,0.395993086559885,-24.0288008794496,-23.8623403289526,0.0198225789745115,0.0471180864618767,0,2.18984410701061,3.06172779934819,6.32082353112803,0.73547302169446,5.36687883530324e-05,0.3916,1.26207642258854,0.747663186751081,0.118394844085484,2.53051920880208e-05,1.9574478849258e-05,2.40292206538426e-05,2.41197444775537e-05,3394619.47905893,366611.999821291,1.05434222465104,1,0.489,-24.136822357349,-4.69535773651476e-16,-3.14725401295846e-09
12.6,0.390939578336227,-23.9674882146667,-23.7946777896839,0.0230615667833863,0.0548171304573004,0,2.1691037939792,3.06267444705092,6.37307783270261,0.761426549651181,6.58622287446826e-05,0.3916,1.2620136199429,0.749317065981255,0.121730816728209,2.61588972068131e-05,1.97640412539646e-05,2.40045291774865e-05,2.36626679148333e-05,3395333.74954357,366330.504637731,1.06565541295166,1,0.487,-24.0833346389909,-6.02888405702457e-16,-3.25493942909816e-09
12.8,0.38558634618887,-23.9038495075371,-23.724222454274,0.0263423736691342,0.0626155780107778,0,2.14819191946064,3.06303455361565,6.42129817053707,0.785551036427412,7.91498157264977e-05,0.3916,1.26194812513952,0.751023034666439,0.125311679119142,2.70651650653217e-05,1.99596164186013e-05,2.39841308780759e-05,2.32240063354593e-05,3396079.06500341,366027.368779029,1.07770040233856,1,0.485,-24.0280913521115,-9.55757672847389e-16,-3.28452465225837e-09
13,0.383259241245916,-23.8387636874871,-23.6557632402524,0.0296494821823012,0.0704765442888073,0,2.12995972790056,3.06298611584646,6.46332696777134,0.804459375407198,9.34736687814573e-05,0.391050517817699,1.26188593344412,0.751959967458388,0.126639239428011,2.74853118045989e-05,2.01324570535345e-05,2.39691084549196e-05,2.28129292644438e-05,3396793.45126655,365726.100787978,1.09038677393793,1,0.484,-23.9720651514521,-9.79638919762276e-16,-3.54728690865613e-09
13.2,0.377955557001034,-23.7717841796792,-23.5821698037873,0.0329545494228173,0.0783326584806686,0,2.11244769899942,3.06260726136198,6.50220183732207,0.819607621864604,0.00010869040024729,0.387745450577183,1.26181784841022,0.753629072371242,0.130204820872505,2.83981654394631e-05,2.03011324229641e-05,2.39532001764244e-05,2.24164405127368e-05,3397568.25202425,365390.270527096,1.10354790551806,1,0.483,-23.9151078238034,-9.76469322473651e-16,-3.14137160728478e-09
13.4,0.373845990283762,-23.7027995023883,-23.5077408925523,0.0362539706983016,0.0861753522659891,0,2.09453482134919,3.06170712665654,6.54068583948935,0.834932317635772,0.000124799129207176,0.384446029301698,1.26174949748109,0.75498123516518,0.132893153890422,2.91181417239125e-05,2.04768821535848e-05,2.39422619667248e-05,2.20291400150303e-05,3398349.87765045,365050.205599753,1.11715746305102,1,0.482,-23.8566678660219,-9.78965952085683e-16,-2.89905166539484e-09
13.6,0.368870553305793,-23.6317220764677,-23.4302177072761,0.039542595549647,0.0939923830512171,0,2.07650980882039,3.06032472121722,6.57877866066295,0.849505106742058,0.000141790680724487,0.381157404450353,1.26167799437871,0.756521953031764,0.136255499209517,2.99888316393569e-05,2.06576566144718e-05,2.39343851987837e-05,2.16480498161967e-05,3399165.78841215,364691.934737304,1.13118235068075,1,0.482,-23.7968930851244,-9.80049307225221e-16,-2.73709055420568e-09
